id,normalized_name,gender
587,male worker,
588,contestant,
589,magic johnson,
590,aristotle,
592,thought bubble barney,
593,female voice,
594,scott,
595,miss lois pennycandy,
596,sexy female recording,
597,pennycandy,
600,rabbi 1,
601,rowdy rabbi,
602,martian,
604,caller,
605,monsignor daley,
606,yiddle,
607,rabbi 2,
608,waitress,
609,stagehand,
610,airport announcer,
611,customs agent,
612,military cops,
613,english diplomat,
614,argentine diplomat,
616,female office worker,
617,male office worker,
618,townspeople,
619,patrons,
620,vin scully,
621,kids in audience,
622,dr monroe,
623,crypt keeper willie,
624,robot,
625,homer-ape,
627,little man,
628,teenager,
630,baby lisa,
631,salesclerk,
632,millicent,
633,female clerk,
634,kevin,
635,johnny carson,
636,scoey,
637,teenage clerk,
639,dave jr,
640,official,
641,voice from trunk,
642,ronnie,
643,drederick,
644,wanda,
646,girls,
647,patron 1,
648,patron 2,
649,collette,
650,harv,
651,bernard,
653,aerosmith,
654,steven tyler,
655,joe perry,
656,brad whitford,
568,fat tony,m
570,louie,m
598,rabbi hyman krustofsky,m
591,luann van houten,f
615,colonel,m
638,football announcer,m
567,executive,m
603,dj,m
645,becky,f
585,instructor,m
652,aide,m
626,lunchlady doris,f
658,everyone,
659,bartender,
660,one-eyed bartender,
661,flowers,
662,tom hamilton,
663,joey kramer,
664,snappy,
665,broker,
666,hans,
667,fritz,
670,german teacher,
671,boxer,
672,mr thorson,
673,angel,
674,patient,
675,justice of the peace,
676,groom,
677,applicant 1,
678,applicant 2,
679,applicants,
680,tourist kid,
681,tourist dad,
682,boss,
683,elderly lady,
684,repo man,
685,driver,
686,mc,
687,boy,
688,operator,
689,barber,
690,rosarita,
691,weasel,
692,robot weasel,
693,se̱or beaver-otti,
694,robot animals,
695,fat cop,
696,falcon man,
697,sailor,
698,sting,
700,choir,
701,souvenir hawker,
702,station announcer,
703,old lady 1,
704,bret,
705,jimmy,
706,sportscaster,
707,coach,
708,football announcer 2,
709,player,
710,marco,
711,box,
712,nutty comedian,
713,alien,
714,duff announcer,
716,nick 2,
717,commercial guy,
718,man on phone,
719,bus driver,
720,policewoman,
721,different announcer,
722,chef rodrigo,
723,gregory,
724,fabrizio,
725,woman on tv 1,
726,woman on tv 2,
727,teenage boy,
728,chif wiggum,
729,service manager,
730,ted,
731,sound-alikes,
732,mister amazing,
733,sparkle,
734,romantic lover voice,
735,southern private,
736,charles boyer,
737,umpire,
738,dispatcher,
739,ari,
740,jose canseco,
743,ozzie smith,
744,don mattingly,
745,steve sax,
746,roger clemens,
747,wade boggs,
748,ken griffey jr,
749,darryl strawberry,
750,hypnotist,
751,all the players,
752,jose conseco,
753,ticket taker,
754,courier,
756,forte,
757,donna,
759,principal willie,
760,prosecutor,
761,steve allen,
762,mr montone,
763,former teacher,
764,teacher 1,
765,teacher 2,
766,hippie teacher,
768,employer,
699,sideshow mel,m
742,tour guide,m
657,hugh,m
758,tammy,f
767,employee,m
741,mike scioscia,m
668,charlie,m
715,nick,m
769,window washers,
770,sanjay nahasapeemapetilon,
771,lottery announcer,
772,vet,
773,mr danielson,
775,sadistic barfly,
776,young barfly,
777,trainee,
778,butler,
779,ticket man,
780,general,
781,cowboy 1,
782,cowboy 2,
783,bar owner,
784,yodelin zeke,
786,male nurse,
787,music store owner,
788,mr boylan,
789,mule,
790,young girl,
791,pretty girl,
792,orville,
793,hurley,
794,dinosaur dad,
795,dinosaur son,
796,cellmate 1,
797,familyeveryone,
798,crooner,
799,macgyver,
800,t-shirt guy,
802,david,
804,derek,
805,roadie,
806,stoned guy,
807,promoter,
808,davidnigel,
809,davidnigelderek,
810,landlord,
811,samantha stanky,
812,grave digger,
813,crane operator,
814,worker 1,
815,worker 2,
816,mr stanky,
818,nun,
819,nun 2,
820,bum,
821,william powel lookalike,
822,bum 2,
823,nbc anchorman,
824,jittery private,
825,angry sergeant,
826,men singers,
827,female singers,
828,smokin joe frazier,
829,herb powell,
830,mom,
831,teachers,
832,mr black,
833,sergeant,
834,campers,
835,line judge,
836,stablehand,
837,little boy 1,
838,queen elizabeth ii,
